round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
94,465.194,470.194,5,1.0.0.2,3497.57,3497.45,3497.45,16.7329,1.0238,0,100,2693,2693,2185979,2185907
94,465.194,470.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
95,470.194,475.194,5,1.0.0.2,4725.18,4674.15,4674.15,20.897,1.55774,0.585262,99.4147,3759,3737,2953239,2921342
95,470.194,475.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
96,475.194,480.194,5,1.0.0.2,2337.13,2330.73,2330.73,16.4772,0.966012,4.16895,95.831,1823,1747,1460706,1456707
96,475.194,480.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
97,480.194,485.194,5,1.0.0.2,3649.17,3584.14,3584.14,16.4667,1.46092,0.83607,99.1639,3349,3321,2280729,2240090
97,480.194,485.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
98,485.194,490.194,5,1.0.0.2,3640.33,3505.71,3505.71,16.0524,2.32225,2.08034,97.9197,2788,2730,2275208,2191071
98,485.194,490.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
99,490.194,495.194,5,1.0.0.2,4685.44,4669.04,4669.04,21.1323,1.26177,0.189753,99.8102,3689,3682,2928397,2918152
99,490.194,495.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
100,495.194,500.194,5,1.0.0.2,2683.84,2629.71,2629.71,22.9496,1.49239,0.964765,99.0352,2384,2361,1677399,1643569
100,495.194,500.194,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
